Titles,ShelterName,Provider,Facility,DHS Building ID,Facility Type,Borough,Landlord,Open Violations,New Violations,Closed Violations,Total Open Violations ,location,latitude,longitude
"SKYWAY SHELTER, Acacia Network Housing, Adult Commercial Hotel",SKYWAY SHELTER, Acacia Network Housing, Adult Commercial Hotel,,,,,,,,,,,
"Days Inn xx Welcome Center, Acacia Network Housing, Adult Commercial Hotel",Days Inn xx Welcome Center, Acacia Network Housing, Adult Commercial Hotel,,,,,,,,,,,
"SUPER 8 BRONX, Acacia Network Housing, Adult Commercial Hotel",SUPER 8 BRONX, Acacia Network Housing, Adult Commercial Hotel,,,,,,,,,,,
"NAICA I, NAICA, Adult Commercial Hotel",NAICA I, NAICA, Adult Commercial Hotel,485126.0,Adult Commercial Hotel,Bronx,AMG ELTON LLC,7.0,2.0,0.0,9.0,{'lat': 40.83195 'lng': -73.920667},40.83195,-73.920667
"Red Lion, Community Housing Innovations Inc., Adult Commercial Hotel",Red Lion, Community Housing Innovations Inc., Adult Commercial Hotel,521296.0,Adult Commercial Hotel,Bronx,BROOK HOSPITALITY LLC,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"BPM Hotel, African American Planning Commission, Adult Commercial Hotel",BPM Hotel, African American Planning Commission, Adult Commercial Hotel,521216.0,Adult Commercial Hotel,Bronx,"SOUTHERN HOSPITALITY, LLC",0.0,1.0,0.0,1.0,{'lat': 40.8613808 'lng': -73.8972239},40.8613808,-73.8972239
"Comfort Inn Sunset Senior Hotel, Acacia Network Housing, Adult Commercial Hotel",Comfort Inn Sunset Senior Hotel, Acacia Network Housing, Adult Commercial Hotel,440832.0,Adult Commercial Hotel,Bronx,UNAVAILABLE OWNER,4.0,0.0,0.0,4.0,{'lat': 40.8099891 'lng': -73.929248},40.8099891,-73.929248
"Willow Men's Shelter, Westhab Inc, Adult Commercial Hotel",Willow Men's Shelter, Westhab Inc, Adult Commercial Hotel,187235.0,Adult Commercial Hotel,Brooklyn,BUTLER HOTEL PROPERTY LLC,0.0,1.0,0.0,1.0,{'lat': 40.6757999 'lng': -73.90520269999999},40.6757999,-73.9052027
"Kings Hotel, African American Planning Commission, Adult Commercial Hotel",Kings Hotel, African American Planning Commission, Adult Commercial Hotel,441601.0,Adult Commercial Hotel,Brooklyn,XRD ST BPM BROOKLYN,0.0,0.0,0.0,0.0,{'lat': 40.6491116 'lng': -74.0006131},40.6491116,-74.0006131
"Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel",Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel,519247.0,Adult Commercial Hotel,Brooklyn,B BROOKLYN LLC,2.0,0.0,0.0,2.0,{'lat': 40.6757999 'lng': -73.90520269999999},40.6757999,-73.9052027
"Hotel OmXX, VIP Community Services, Adult Commercial Hotel",Hotel OmXX, VIP Community Services, Adult Commercial Hotel,211267.0,Adult Commercial Hotel,Brooklyn,"COSMIC REALTY, LLC",1.0,0.0,0.0,1.0,{'lat': 40.65679799999999 'lng': -74.0067299},40.656798,-74.0067299
"Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel",Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel,229121.0,Adult Commercial Hotel,Brooklyn,"KINGS HOTEL , INC     UCHE EMELUMAN",0.0,0.0,0.0,0.0,{'lat': 40.6757999 'lng': -73.90520269999999},40.6757999,-73.9052027
"Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel",Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel,198417.0,Adult Commercial Hotel,Brooklyn,X ST MARKS AVE LLC,1.0,0.0,0.0,1.0,{'lat': 40.6757999 'lng': -73.90520269999999},40.6757999,-73.9052027
"Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel",Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel,169228.0,Adult Commercial Hotel,Brooklyn,"AMR DEVELOPMENT, LLC",8.0,0.0,0.0,8.0,{'lat': 40.6757999 'lng': -73.90520269999999},40.6757999,-73.9052027
"Sumner Hotel Senior, Acacia Network Housing, Adult Commercial Hotel",Sumner Hotel Senior, Acacia Network Housing, Adult Commercial Hotel,148736.0,Adult Commercial Hotel,Brooklyn,SANRAJ INC,4.0,0.0,1.0,3.0,{'lat': 40.7007744 'lng': -73.9403947},40.7007744,-73.9403947
"Hotel Gowanus, African American Planning Commission, Adult Commercial Hotel",Hotel Gowanus, African American Planning Commission, Adult Commercial Hotel,148774.0,Adult Commercial Hotel,Brooklyn,BGFLATLANDS LLC,0.0,11.0,10.0,1.0,{'lat': 40.6751161 'lng': -73.9879753},40.6751161,-73.9879753
"Brooklyn XX Hotel, African American Planning Commission, Adult Commercial Hotel",Brooklyn XX Hotel, African American Planning Commission, Adult Commercial Hotel,138639.0,Adult Commercial Hotel,Brooklyn,NEW P & S REALTY CORP,0.0,0.0,0.0,0.0,{'lat': 40.6781784 'lng': -73.9441579},40.6781784,-73.9441579
"LaQuinta xx Hotel, African American Planning Commission, Adult Commercial Hotel",LaQuinta xx Hotel, African American Planning Commission, Adult Commercial Hotel,519168.0,Adult Commercial Hotel,Brooklyn,G-ELUL REALTY CORP,0.0,7.0,0.0,7.0,{'lat': 40.6251117 'lng': -73.9919456},40.6251117,-73.9919456
"CORE Super 8, Community Housing Innovations, Inc.",CORE Super 8, Community Housing Innovations, Inc.,451329.0,Adult Commercial Hotel,Brooklyn,"22 STREET SAI , LLC",0.0,0.0,0.0,0.0,{'lat': 40.669752 'lng': -73.8956872},40.669752,-73.8956872
"Metropolitan Reasonable Accommodation, Acacia Network Housing, Adult Commercial Hotel",Metropolitan Reasonable Accommodation, Acacia Network Housing, Adult Commercial Hotel,188794.0,Adult Commercial Hotel,Brooklyn,X 4TH AVE ASSOCIATE,0.0,0.0,0.0,0.0,{'lat': 40.7136534 'lng': -73.9494466},40.7136534,-73.9494466
"Sleep Inn xx, Acacia Network Housing, Adult Commercial Hotel",Sleep Inn xx, Acacia Network Housing, Adult Commercial Hotel,474880.0,Adult Commercial Hotel,Brooklyn,PITKIN HOSPITALITY MANAGEMENT NY LL,1.0,0.0,0.0,1.0,{'lat': 40.6634211 'lng': -73.9977112},40.6634211,-73.9977112
"Blake Hotel, Acacia Network Housing, Adult Commercial Hotel",Blake Hotel, Acacia Network Housing, Adult Commercial Hotel,142034.0,Adult Commercial Hotel,Brooklyn,"PRIOLO, JOSEPH",1.0,0.0,1.0,0.0,{'lat': 40.6679982 'lng': -73.8938472},40.6679982,-73.8938472
"BRC Stabilization, Bowery Residents Committee Inc. // Adult Commercial Hotel // xx Holiday Inn // African American Planning Commission, Adult Commercial Hotel",BRC Stabilization, Bowery Residents Committee Inc. // Adult Commercial Hotel // xx Holiday Inn // African American Planning Commission, Adult Commercial Hotel,504064.0,Adult Commercial Hotel,Brooklyn,UNION HOTEL PARK LLC,1.0,0.0,0.0,1.0,{'lat': 40.7366892 'lng': -73.9519798},40.7366892,-73.9519798
"SKYWAY SHELTER, Acacia Network Housing, Adult Commercial Hotel",SKYWAY SHELTER, Acacia Network Housing, Adult Commercial Hotel,524033.0,Adult Commercial Hotel,Brooklyn,RATAN STILLWELL L.L.C,0.0,0.0,0.0,0.0,{'lat': 40.6658366 'lng': -73.8073314},40.6658366,-73.8073314
"Travel Inn, Acacia Network Housing, Adult Commercial Hotel",Travel Inn, Acacia Network Housing, Adult Commercial Hotel,507985.0,Adult Commercial Hotel,Brooklyn,PR HOLDINGS LLC,0.0,0.0,0.0,0.0,{'lat': 40.7575221 'lng': -73.99159929999999},40.7575221,-73.9915993
"NAICA I, NAICA, Adult Commercial Hotel",NAICA I, NAICA, Adult Commercial Hotel,180064.0,Adult Commercial Hotel,Manhattan,SC DELANCEY LLC,0.0,0.0,0.0,0.0,{'lat': 40.83195 'lng': -73.920667},40.83195,-73.920667
